feature,importance,importance_pct,cumulative_pct
순서,15377.2,25.59760823534112,25.59760823534112
시간대,5115.8,8.516000585955707,34.11360882129683
Time_x_Weekday,4889.0,8.138458670146887,42.25206749144372
요일,4073.0,6.78010680374479,49.03217429518851
호선,3915.2,6.517425523697913,55.54959981888642
환승역,3088.6,5.141428400207747,60.691028219094164
event_count,2868.6,4.775206083285613,65.46623430237977
Time_Sin,2111.2,3.51440252493641,68.98063682731619
Is_Holiday,2014.8,3.353930564248711,72.3345673915649
요일_Sin,1289.2,2.146062777163708,74.48063016872861
Time_Cos,1129.2,1.8797192739476103,76.36034944267622
Hour,1008.4,1.6786299290194564,78.03897937169567
DayOfYear,919.2,1.530143425976482,79.56912279767215
Hour_x_IsWeekend,877.0,1.459895327003236,81.02901812467539
DayOfMonth,850.0,1.4149498608355193,82.44396798551091
DI_x_RushHour,694.4,1.1559308039578644,83.59989878946877
humidity,646.0,1.0753618942349947,84.67526068370377
Transfer_x_RushHour,589.4,0.9811428799723002,85.65640356367607
Temp_x_RushHour,571.4,0.9511792358604892,86.60758279953656
Weather_Score,534.0,0.8889214419837264,87.49650424152028
temperature,520.6,0.8666151735893782,88.36311941510967
요일_Cos,504.0,0.838982035130708,89.20210145024038
wind_speed,498.2,0.8293270831391244,90.0314285333795
DayOfYear_Sin,480.8,0.8003622271643739,90.83179076054387
Is_RushHour,445.4,0.7414337270778122,91.57322448762169
discomfort_index,428.6,0.713467659240122,92.28669214686181
is_transfer_station,393.8,0.6555379472906208,92.94223009415244
event_intensity,379.0,0.6309011732431317,93.57313126739557
event_rushhour,367.8,0.6122571280180048,94.18538839541357
WeekOfYear,353.0,0.5876203539705157,94.77300874938409
Holiday_x_Event,333.4,0.5549932748265437,95.32800202421063
Feels_Like_Temp,319.8,0.5323540770531755,95.8603561012638
Season_x_Weekend,292.0,0.4860768933693784,96.34643299463318
event_evening,236.6,0.3938554553808046,96.74028845001398
event_timing,230.0,0.38286878587314055,97.12315723588712
Is_MorningRush,197.0,0.32793543833482036,97.45109267422194
DayOfYear_Cos,168.6,0.28065946651396306,97.7317521407359
is_event_nearby,159.4,0.26534471507903745,97.99709685581495
snowfall,158.4,0.26368006818393686,98.26077692399888
event_weekend,143.8,0.2393762235154679,98.50015314751434
Month,134.0,0.2230626839434819,98.72321583145782
Is_Weekend,114.6,0.19076853417853,98.91398436563635
daily_event_count,63.8,0.10620447190741898,99.02018883754377
월_Sin,53.8,0.08955800295641288,99.10974684050018
Season,52.6,0.08756042668229215,99.19730726718247
월_Cos,48.0,0.07990305096482933,99.2772103181473
event_ending,44.0,0.07324446338442689,99.35045478153172
rainfall,43.8,0.07291153400540676,99.42336631553714
Event_x_Evening,40.8,0.06791759332010493,99.49128390885724
Is_EveningRush,39.4,0.06558708766696408,99.55687099652421
Precipitation_Intensity,39.2,0.06525415828794397,99.62212515481215
Is_LateNight,39.0,0.06492122890892384,99.68704638372108
RainIntensity_x_RushHour,36.2,0.060260217602642135,99.74730660132373
Event_x_Weekend,32.4,0.0539345594012598,99.80124116072498
has_multiple_events,32.4,0.0539345594012598,99.85517572012624
Humidity_Category,24.8,0.04128324299849516,99.89645896312473
Weather_Group,14.2,0.023637985910428677,99.92009694903516
Rain_x_RushHour,10.8,0.017978186467086602,99.93807513550225
시간대_그룹,8.8,0.014648892676885378,99.95272402817913
Rain_x_Weekend,8.2,0.01365010453982501,99.96637413271895
Wind_Category,7.8,0.012984245781784767,99.97935837850073
Temp_Category,2.8,0.0046610113062817106,99.98401938980702
Quarter,2.4,0.003995152548241466,99.98801454235526
DI_Category,2.2,0.0036622231692213444,99.99167676552447
Is_Rain,1.6,0.002663435032160978,99.99434020055664
Snow_Category,1.4,0.0023305056531408553,99.99667070620977
Rain_Category,1.0,0.0016646468951006113,99.99833535310486
Extreme_x_RushHour,0.4,0.0006658587580402445,99.9990012118629
Snow_x_Weekend,0.2,0.00033292937902012224,99.99933414124192
Is_Extreme_Weather,0.2,0.00033292937902012224,99.99966707062093
Is_Snow,0.2,0.00033292937902012224,99.99999999999994
Is_Freezing,0.0,0.0,99.99999999999994
Is_Cold,0.0,0.0,99.99999999999994
Is_Hot,0.0,0.0,99.99999999999994
Is_Windy,0.0,0.0,99.99999999999994
