fold,train_size,val_size,rmse,mae,r2
1,90280,90280,492.82280318934164,245.65627143933003,0.9103361848858088
2,180560,90280,391.65575260607255,201.05496659508023,0.9411257861937419
3,270840,90280,343.26610120195454,180.7438402138887,0.9559361097407201
4,361120,90280,428.06500623118905,207.91628435118662,0.9255989132030028
5,451400,90280,472.72192613176054,277.40566669410737,0.9135119540218026
